{'tag': 'parse_start', 'content': '-启动爬虫业务-', 'created_time': '2018-04-04 22:12:25.978528'}
{'tag': 'parse_comp', 'content': '000001.XSHE', 'created_time': '2018-04-04 22:12:26.803767'}
{'tag': 'parse_comp', 'content': '000002.XSHE', 'created_time': '2018-04-04 22:12:27.025416'}
{'tag': 'parse_comp', 'content': '000004.XSHE', 'created_time': '2018-04-04 22:12:27.231059'}
{'tag': 'parse_comp', 'content': '000005.XSHE', 'created_time': '2018-04-04 22:12:27.454039'}
{'tag': 'parse_comp', 'content': '000006.XSHE', 'created_time': '2018-04-04 22:12:27.647093'}
{'tag': 'parse_comp', 'content': '000007.XSHE', 'created_time': '2018-04-04 22:12:27.887583'}
{'tag': 'parse_comp', 'content': '000008.XSHE', 'created_time': '2018-04-04 22:12:28.103306'}
{'tag': 'parse_comp', 'content': '000009.XSHE', 'created_time': '2018-04-04 22:12:28.341070'}
{'tag': 'parse_comp', 'content': '000010.XSHE', 'created_time': '2018-04-04 22:12:28.542577'}
{'tag': 'parse_comp', 'content': '000011.XSHE', 'created_time': '2018-04-04 22:12:28.783921'}
{'tag': 'parse_comp', 'content': '000012.XSHE', 'created_time': '2018-04-04 22:12:28.969422'}
{'tag': 'parse_comp', 'content': '000014.XSHE', 'created_time': '2018-04-04 22:12:29.200950'}
{'tag': 'parse_comp', 'content': '000016.XSHE', 'created_time': '2018-04-04 22:12:29.395390'}
{'tag': 'parse_comp', 'content': '000017.XSHE', 'created_time': '2018-04-04 22:12:29.614381'}
{'tag': 'parse_comp', 'content': '000018.XSHE', 'created_time': '2018-04-04 22:12:29.833326'}
{'tag': 'parse_comp', 'content': '000019.XSHE', 'created_time': '2018-04-04 22:12:30.059340'}
{'tag': 'parse_comp', 'content': '000020.XSHE', 'created_time': '2018-04-04 22:12:30.277750'}
{'tag': 'parse_comp', 'content': '000021.XSHE', 'created_time': '2018-04-04 22:12:30.480345'}
{'tag': 'parse_comp', 'content': '000022.XSHE', 'created_time': '2018-04-04 22:12:30.672366'}
{'tag': 'parse_comp', 'content': '000001.XSHE', 'created_time': '2018-04-04 22:20:32.565130'}
{'tag': 'parse_comp', 'content': '000002.XSHE', 'created_time': '2018-04-04 22:20:32.822703'}
{'tag': 'parse_comp', 'content': '000004.XSHE', 'created_time': '2018-04-04 22:20:33.132256'}
{'tag': 'parse_comp', 'content': '000005.XSHE', 'created_time': '2018-04-04 22:20:33.456413'}
{'tag': 'parse_comp', 'content': '000006.XSHE', 'created_time': '2018-04-04 22:20:33.813542'}
{'tag': 'parse_comp', 'content': '000007.XSHE', 'created_time': '2018-04-04 22:20:34.002321'}
{'tag': 'parse_comp', 'content': '000008.XSHE', 'created_time': '2018-04-04 22:20:34.354686'}
{'tag': 'parse_comp', 'content': '000009.XSHE', 'created_time': '2018-04-04 22:20:34.696943'}
{'tag': 'parse_comp', 'content': '000010.XSHE', 'created_time': '2018-04-04 22:20:35.054692'}
{'tag': 'parse_comp', 'content': '000011.XSHE', 'created_time': '2018-04-04 22:20:35.415376'}
{'tag': 'parse_comp', 'content': '000012.XSHE', 'created_time': '2018-04-04 22:20:35.753025'}
{'tag': 'parse_comp', 'content': '000014.XSHE', 'created_time': '2018-04-04 22:20:36.111516'}
{'tag': 'parse_comp', 'content': '000001.XSHE', 'created_time': '2018-04-04 22:21:07.594614'}
{'tag': 'parse_comp', 'content': '000002.XSHE', 'created_time': '2018-04-04 22:21:07.693217'}
{'tag': 'parse_comp', 'content': '000004.XSHE', 'created_time': '2018-04-04 22:21:07.853512'}
{'tag': 'parse_comp', 'content': '000005.XSHE', 'created_time': '2018-04-04 22:21:08.030973'}
{'tag': 'parse_comp', 'content': '000006.XSHE', 'created_time': '2018-04-04 22:21:08.215198'}
{'tag': 'parse_comp', 'content': '000007.XSHE', 'created_time': '2018-04-04 22:21:08.329794'}
{'tag': 'parse_comp', 'content': '000008.XSHE', 'created_time': '2018-04-04 22:21:08.516441'}
{'tag': 'parse_comp', 'content': '000009.XSHE', 'created_time': '2018-04-04 22:21:08.736671'}
{'tag': 'parse_comp', 'content': '000010.XSHE', 'created_time': '2018-04-04 22:21:08.941837'}
{'tag': 'parse_comp', 'content': '000011.XSHE', 'created_time': '2018-04-04 22:21:09.137967'}
{'tag': 'parse_comp', 'content': '000001.XSHE', 'created_time': '2018-04-04 22:21:09.557260'}
{'tag': 'parse_comp', 'content': '000002.XSHE', 'created_time': '2018-04-04 22:21:09.766805'}
{'tag': 'parse_comp', 'content': '000004.XSHE', 'created_time': '2018-04-04 22:21:09.974997'}
{'tag': 'parse_comp', 'content': '000005.XSHE', 'created_time': '2018-04-04 22:21:10.466204'}
{'tag': 'parse_comp', 'content': '000006.XSHE', 'created_time': '2018-04-04 22:21:10.825926'}
{'tag': 'parse_comp', 'content': '000007.XSHE', 'created_time': '2018-04-04 22:21:11.021661'}
{'tag': 'parse_comp', 'content': '000008.XSHE', 'created_time': '2018-04-04 22:21:11.378497'}
{'tag': 'parse_comp', 'content': '000009.XSHE', 'created_time': '2018-04-04 22:21:11.719140'}
{'tag': 'parse_comp', 'content': '000010.XSHE', 'created_time': '2018-04-04 22:21:12.044553'}
